ip,label,feat_query_count,feat_ip_count,feat_ns_count,feat_isns_domain,feat_soadomain_count,feat_issoa_domain,feat_duration,feat_ip_duration,feat_ip_query,feat_ip_apexcount,number of whois records,number of inetnums,size of the maximum intentum,size of the minimum intentum,netTypes,number of owners,most recent update,#resolutions,#res_apexes,detected_urls,detected_urls_pos,detected_apexes,detected_fqdns,undetected_urls,undetected_apexes,undetected_fqdns,det_comm_files,undet_comm_files,det_download, undet_download, det_referrer, undet_referrer,subnet,asn
203.205.37.233,1.0,-0.1088975848182285,-0.3767192779239577,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.8867229615131093,0.6492169885405974,-0.0184894076208069,-0.5451812614158091,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,-0.8896071423929532,-0.3592706107396057,-0.6913573380433918,-0.612647398583409,-0.5206830303496087,2.337064622042351,-0.4140644700972098,-0.4430215428902062,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.2337585630647204,-0.4480430226987153,-0.0669060407810662,0.7329430496791526,0.1541064643482063,1.466848384089417
187.188.251.219,1.0,-0.1072060501236597,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.354712658544353,0.3904379468403121,-0.0184531045485473,-0.5483758914165449,0.0932797751804933,-0.1053209523218134,1.611328250259094,1.6127713405360558,2.0,0.0936788381662565,-0.2302348636972975,-0.6937689906838231,-0.6159212796196184,-0.4948540655034845,0.0922677197790405,-0.3455122033177161,-0.3887013723241175,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.2337585630647204,-0.4906736184001433,-0.0669060407810662,-0.0982845326855521,-0.162222265016784,0.1673150293404844
104.210.215.18,1.0,-0.1010036628495992,-0.3697740530061063,1.4905944173833554,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,-2.188939842973743,-2.1006663913950634,-0.0184934204361633,-0.546778576416177,0.0932797751804933,-0.1053209523218134,-0.6866073353923843,-0.6829483364465557,15.0,0.0936788381662565,0.9096100497818616,-0.6865340327625291,-0.6093735175471995,-0.5206830303496087,-0.2818650972648446,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.4480430226987153,-0.0669060407810662,-0.0982845326855521,-1.1430071769650427,2.243764586890899
103.63.108.25,1.0,-0.1085842395417252,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.971654738551514,-2.8613725892812565,-0.0184936081702151,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,-0.8896071423929532,-0.3219560341096198,-0.6889456854029604,-0.6093735175471995,-0.4948540655034845,2.337064622042351,-0.4140644700972098,-0.3343812017580289,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.3627818312958594,-0.0669060407810662,0.109522362905624,-1.264780023175522,1.059969902722968
1.9.78.242,1.0,0.0358074645726669,-0.1770440615357296,1.4905944173833554,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,-0.7929872020766717,0.0649450673774767,-0.0184932092353551,-0.546778576416177,1.0746941912226775,-0.1053209523218134,1.611328250259094,1.6127713405360558,0.0,1.076964818725466,0.3066962046797127,-0.6889456854029604,-0.6093735175471995,-0.4690251006573603,1.869398600737495,-0.4140644700972098,-0.3887013723241175,-0.6499595671394077,-0.5172938089816704,-0.5577834287043406,-0.3981276604286983,0.0,-0.2337585630647204,-0.3201512355944315,-0.0669060407810662,-0.0982845326855521,-1.3056527058415066,1.5402038795280804
37.224.25.187,1.0,-0.1090499019011004,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,-0.5243421702909211,-2.84999099527484,-0.0184935377699457,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,3.0,-0.8896071423929532,-0.8525645565580051,-0.6913573380433918,-0.6159212796196184,-0.5206830303496087,0.2793341283009831,-0.4140644700972098,-0.4430215428902062,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.3981276604286983,0.0,-0.2337585630647204,-0.4480430226987153,-0.0669060407810662,0.3173292584968002,1.0537679519024488,0.2638182588953476
91.208.197.20,1.0,-0.0650607793098709,-0.3506746844820149,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.1656975070507081,-2.96725457579893,0.2116221212386063,-0.0184863334757093,-0.5435839464154413,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,3.0,-0.8896071423929532,0.3709456426902486,-0.6768874222008038,-0.6060996365109901,0.5124755634953584,2.345972546257682,-0.2769599365382223,-0.0627803489275859,-0.6960613415805591,-0.5554493321487757,-0.5914456684098596,-0.235047921231782,0.0,0.8941576251539293,-0.1496288527887197,15.919890406420254,-0.0982845326855521,1.94309565156455,-0.2349991100875594
178.128.5.231,1.0,-0.1090469981975138,-0.3749829716944948,-0.048965821407039,0.0620532057604075,4.901810833677998,-0.9359294097094876,-1.5429609103590392,-1.880200709260278,-0.0184933969694069,-0.5483758914165449,0.0932797751804933,-0.1053209523218134,1.611328250259094,1.6127713405360558,3.0,0.0936788381662565,-1.537112681729712,-0.6889456854029604,-0.6159212796196184,-0.5206830303496087,1.5887989879545812,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.3201512355944315,-0.0669060407810662,-0.0982845326855521,-0.3828039843440955,-0.6291626389113075
20.232.11.68,1.0,-0.108962026660982,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,-0.9359294097094876,0.3314422959625462,0.026763493125419,-0.0184932679022463,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,-0.1677186547614052,-0.1645600222891918,4.0,-0.8896071423929532,0.9096100497818616,-0.6913573380433918,-0.6159212796196184,-0.5206830303496087,1.9629318049984663,-0.4140644700972098,-0.4430215428902062,-0.7191122288011348,-0.5936048553158809,-0.6251079081153785,-0.3981276604286983,0.0,-0.2337585630647204,-0.4906736184001433,-0.0669060407810662,-0.0982845326855521,0.0627130408761977,2.243764586890899
51.195.166.196,1.0,-0.1090492905950821,-0.3801918903828834,-0.8187459408022363,0.0620532057604075,-0.1643694599772435,1.3747662982668507,0.6230601605536304,0.0838587370239733,-0.0184935260365675,-0.5483758914165449,-0.888134640861691,-0.1053209523218134,1.611328250259094,1.6127713405360558,7.0,-0.8896071423929532,0.2682451627457705,-0.5659514007409625,-0.4587749898815645,-0.5723409600418571,-0.6559979143087298,-0.4826167368767036,-0.4973417134562948,-0.6730104543599834,-0.5172938089816704,-0.5577834287043406,-0.3981276604286983,0.0,-0.2337585630647204,-0.4906736184001433,-0.0669060407810662,-0.0982845326855521,1.279022201866176,-0.4883200876690751
