apex,label,feat_suspicious,feat_length,feat_entropy,feat_faketld,feat_brand_pos,feat_pop_keywords,feat_similar,feat_minus,length,entropy,num_subdomains,subdomain_len,has_www,valid_tlds,has_single_subdomain,has_tld_subdomain,digit_ex_subdomains_ratio,underscore_ratio,has_ip,has_digits,vowel_ratio,digit_ratio,alphabet_cardinality,repeated_char_ratio,consec_consonants_ratio,consec_digit_ratio,1-gram-mean,1-gram-std,1-gram-median,1-gram-max,1-gram-min,1-gram-lower-q,1-gram-upper-q,2-gram-mean,2-gram-std,2-gram-median,2-gram-max,2-gram-min,2-gram-lower-q,2-gram-upper-q,3-gram-mean,3-gram-std,3-gram-median,3-gram-max,3-gram-min,3-gram-lower-q,3-gram-upper-q
fireworks.co.za,0,0,-0.1845906074262901,0.5075043657017455,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,-0.1845906074262901,0.507504365701747,1,2.726500061247142,0,1,0,0,1.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,0.275385603410112,-0.5588697400613298,-0.3435260361440727,-0.2042635134740973,-0.5713695444374239,-0.5911768527359978,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-0.6086666608907894,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
flbauto.fr,0,0,-1.1264755315322703,-0.6950000283838453,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-1.1264755315322703,-0.695000028383844,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.3541819140976764,-0.2429421424634974,-0.9237330958515928,-0.5588697400613298,-0.3435260361440727,-0.2042635134740973,-1.1160622802075113,-0.9965817065758804,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
florenceforth.com,0,0,0.1921633622161019,-0.0226338656319149,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.1921633622161019,-0.0226338656319177,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.4204559796192817,-0.2429421424634974,-0.1243206296771229,-0.5588697400613298,0.1225953581723184,-0.2042635134740973,0.5873404571098533,0.2108291884336607,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,0.6772368189944079,1.137537182337368,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
fomp.at,0,0,-1.6916064859958586,-1.677629821884771,0,-1.0,0,0.2109141892940689,-0.3423158324890221,-1.6916064859958586,-1.6776298218847698,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.5151332160787172,-0.2429421424634974,-1.7231455620260627,-0.5588697400613298,-1.098198769799184,-0.2042635134740973,-1.5518164688235816,-2.132802727108814,-0.3674315927680718,-1.7882253857004566,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
foreignexchange.jp,0,0,0.380540347037298,1.0593101271246426,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.380540347037298,1.0593101271246417,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,1.074798069584582,-0.5588697400613298,-0.0500421952781967,-0.2042635134740973,-0.4313056980965438,-0.0492579573377406,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
fship.com,0,0,-1.3148525163534666,-0.545072461603388,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-1.3148525163534666,-0.545072461603388,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-1.2304723359944538,-0.2429421424634974,-0.9237330958515928,-0.5588697400613298,-0.0500421952781967,-0.2042635134740973,-1.5518164688235816,-2.132802727108814,-0.3674315927680718,-1.7882253857004566,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
fsxmissionshangar.com,0,0,0.9456713015008864,0.5958547847072337,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.9456713015008864,0.5958547847072296,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.5151332160787172,-0.2429421424634974,0.675091836497347,0.720977394925833,0.7884830643385925,-0.2042635134740973,0.8615913450500375,0.8317745726842684,-0.3674315927680718,1.298878291484309,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
fullseo.ru,0,0,-1.1264755315322703,-1.319738485679254,0,-1.0,0,0.9712256086775298,-0.3423158324890221,-1.1264755315322703,-1.3197384856792542,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.7724771997696093,-0.2429421424634974,-1.3234393289388278,2.1288092434117134,-0.3435260361440727,-0.2042635134740973,-0.5713695444374239,-0.5548983392186077,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-0.6086666608907894,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
galabau-matz.de,0,0,-0.1845906074262901,0.0910120608381393,0,-1.0,0,2.491848447444452,1.9975053055083944,-0.1845906074262901,0.0910120608381379,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.7724771997696093,-0.2429421424634974,0.275385603410112,-0.5588697400613298,-0.3435260361440727,-0.2042635134740973,-0.5713695444374239,0.8191860771773884,-0.3674315927680718,1.298878291484309,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
gebrueder-grewe.de,0,0,0.380540347037298,-1.632232347653723,0,-1.0,0,-0.549397230089392,1.9975053055083944,0.380540347037298,-1.6322323476537262,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.6472928537843552,-0.2429421424634974,-0.9237330958515928,-0.5588697400613298,-0.0500421952781967,-0.2042635134740973,2.3699712287210493,3.519825478924845,-0.3674315927680718,3.3569474096074865,1,-0.0775515280790167,0.7793670461872463,0.6020020174127663,1.0815996564963648,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
generalbuy.co.uk,0,0,0.0037863773949059,0.8764418011598151,0,-1.0,0,-0.549397230089392,-0.3423158324890221,0.0037863773949059,0.8764418011598138,1,3.0560235075374376,0,1,0,0,1.0,0.0,0,0,0.4908124213027877,-0.2429421424634974,0.675091836497347,-0.5588697400613298,-1.3340339990664052,-0.2042635134740973,-0.6467885386209742,-0.6380050904633746,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
geosynthetic.co.uk,0,0,0.380540347037298,0.8432352212753004,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.380540347037298,0.8432352212752964,1,3.715070400118028,0,1,0,0,1.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,0.675091836497347,-0.5588697400613298,-0.783751797442888,-0.2042635134740973,-0.0434365851525698,-0.4067590913062923,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
ginosatis.com,0,0,-0.5613445770686822,-0.3296118654090274,0,-1.0,0,2.1116927377527213,-0.3423158324890221,-0.5613445770686822,-0.3296118654090288,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.5991450284054108,-0.2429421424634974,-0.5240268627643578,-0.5588697400613298,-1.968975000939696,-0.2042635134740973,-0.3752801595601922,-0.4862620395605553,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,0.316689143827901,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
gitbook.io,0,0,-1.1264755315322703,-2.180280569741257,0,-1.0,0,0.9712256086775298,-0.3423158324890221,-1.1264755315322703,-2.1802805697412597,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,1.8991363136368944,-0.2429421424634974,-1.7231455620260627,2.1288092434117134,-0.3435260361440727,-0.2042635134740973,0.1289496872669746,0.5491190277031333,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,-0.1459887585314441,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
globalnearshore.fr,0,0,0.380540347037298,0.3651562856852985,0,-1.0,0,-0.549397230089392,-0.3423158324890221,0.380540347037298,0.3651562856852985,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,0.275385603410112,-0.5588697400613298,-0.0500421952781967,-0.2042635134740973,0.4090773799487338,0.1653174402046312,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
golandsky.com,0,0,-0.5613445770686822,0.6315242227377558,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-0.5613445770686822,0.6315242227377587,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-1.134176685236567,-0.2429421424634974,0.275385603410112,-0.5588697400613298,0.0628362050548318,-0.2042635134740973,-1.2250008273615294,-1.1488064590134133,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
goldbucksenterprises.com,0,0,1.5108022559644745,1.8564124038859369,0,-1.0,0,0.5910698989857993,-0.3423158324890221,1.5108022559644745,1.8564124038859355,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.4480701735866165,-0.2429421424634974,2.273916768846287,-0.5588697400613298,-0.2334695958193698,-0.2042635134740973,0.0630372889889138,0.2951440677493856,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,0.2942232836697011,0.8305338484092148,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
goodfortune.com.ph,0,0,0.380540347037298,0.8432352212753004,0,-1.0,0,-0.1692415203976615,-0.3423158324890221,0.380540347037298,0.8432352212752992,1,3.3855469538277325,0,1,0,0,1.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,1.074798069584582,0.9342852507570258,0.6836674068864942,-0.2042635134740973,-0.4313056980965438,0.6807769797546075,-0.3674315927680718,1.298878291484309,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
