domain,label,feat_suspicious,feat_length,feat_entropy,feat_faketld,feat_brand_pos,feat_pop_keywords,feat_similar,feat_minus
n0rx7.sepehrms.com,1,0,0.11538461538461538,0.5632663629033239,0.0,0.0,0.0,0.07142857142857142,0.0
00a6c173.cbdsuppy.guru,1,0,0.15384615384615385,0.6452864900010431,0.0,0.0,0.0,0.10714285714285714,0.0
learnupapp.online,1,1,0.10576923076923077,0.42746622297403347,0.0,0.2692307692307692,0.0,0.07142857142857142,0.0
www.icloud.com-appleid-fmi.com,1,0,0.23076923076923078,0.5864157997186354,0.5,0.3076923076923077,0.0,0.25,0.25
adtng.com,0,0,0.02884615384615384,0.42585913541837384,0.0,0.0,0.0,0.03571428571428571,0.0
report-80987817.bnrc.bz,1,0,0.1634615384615385,0.6358754403890194,0.0,0.0,0.0,0.03571428571428571,0.125
www.halifax.secure-245.com,1,0,0.1923076923076923,0.7146157583004877,0.0,0.09615384615384616,0.2,0.03571428571428571,0.125
k1d8.jaysbrand.com,1,0,0.11538461538461538,0.6319699766457989,0.0,0.0,0.0,0.07142857142857142,0.0
www.rcoihavknwknlkei.top,1,1,0.17307692307692307,0.5959780317697276,0.0,0.0,0.0,0.0,0.0
pendingreview-account.com,1,0,0.1826923076923077,0.6556762338893063,0.0,0.0,0.2,0.0,0.125
m1d3.shoofgoal.com,1,0,0.11538461538461538,0.5289145560320865,0.0,0.0,0.0,0.14285714285714285,0.0
s28616.pcdn.co,0,0,0.07692307692307694,0.490431134657352,0.0,0.0,0.0,0.03571428571428571,0.0
nb6kx.sepehrms.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.07142857142857142,0.0
sibl.lab.medicine.umich.edu,0,0,0.20192307692307693,0.5408128770702383,0.0,0.0,0.0,0.14285714285714285,0.0
dc-27.tempbigh.com,1,0,0.11538461538461538,0.6319699766457989,0.0,0.0,0.0,0.14285714285714285,0.125
hs-securepaymentsalert.com,1,0,0.1923076923076923,0.6284640526245404,0.0,0.0,0.4,0.03571428571428571,0.125
dwh.efsa.europa.eu,0,0,0.11538461538461538,0.502982806348256,0.0,0.1923076923076923,0.0,0.14285714285714285,0.0
jwj7.saytanet.com,1,0,0.10576923076923077,0.5640408738773144,0.5,0.0,0.0,0.46428571428571425,0.0
records-hmrc-govuk.ltd,1,0,0.15384615384615385,0.6452864900010429,0.5,0.0,0.0,0.07142857142857142,0.25
v-post.top,1,1,0.038461538461538464,0.2873536065023867,0.0,0.0,0.0,0.10714285714285714,0.125
karlagaray.com,1,0,0.07692307692307694,0.402097916988456,0.0,0.0,0.0,0.10714285714285714,0.0
mfacebook.biltapps.com,1,0,0.15384615384615385,0.5890744423935637,0.0,0.038461538461538464,0.0,0.3214285714285714,0.0
160427.monovm.com,0,0,0.10576923076923077,0.5002112257601834,0.0,0.0,0.0,0.07142857142857142,0.0
smple-skins.club,1,1,0.09615384615384616,0.5519663623826605,0.0,0.0,0.0,0.10714285714285714,0.125
cpcontacts.ourchildrenshealth.com,1,0,0.25961538461538464,0.6318123759613377,0.0,0.0,0.0,0.07142857142857142,0.0
mobile-appsecure-halifaxonline-verification.app,1,0,0.3942307692307692,0.6911540140084447,0.0,0.34615384615384615,0.6000000000000001,0.14285714285714285,0.375
cellphoneappstore.com,1,0,0.14423076923076922,0.534885562686775,0.0,0.0,0.0,0.25,0.0
1d-manage-7sha4im18qhbkf2jgq6rgbgfq0.faegwafewa.com,1,0,0.4326923076923077,0.8274324006174085,0.0,0.0,0.2,0.0,0.25
messaglng-hydrock.com,1,0,0.14423076923076922,0.6565596013777393,0.0,0.0,0.0,0.07142857142857142,0.125
getgohelp.com,1,0,0.0673076923076923,0.44718426638208997,0.0,0.0,0.0,0.2857142857142857,0.0
eebilling-ref.com,1,0,0.10576923076923077,0.5503123005152866,0.0,0.0,0.0,0.03571428571428571,0.125
amazonmanage-servicewebxnxx.fslvkmdfn.com,1,0,0.33653846153846156,0.7345565174263946,0.0,0.46153846153846156,0.4,0.17857142857142855,0.125
mail.securepolicyfb.com,1,0,0.1634615384615385,0.6191386240182455,0.0,0.0,0.2,0.0,0.0
www.portal-islam.id,0,0,0.125,0.5515947797171572,0.0,0.0,0.2,0.0,0.125
zzyba.leovirals.com,1,0,0.125,0.5964220571296179,0.0,0.0,0.0,0.21428571428571427,0.0
webdisk.ednasyn.com.br,1,0,0.15384615384615385,0.6171804661973035,0.0,0.0,0.0,0.3214285714285714,0.0
www.irequest-payment.com,1,0,0.17307692307692307,0.6635451910985759,0.0,0.0,0.0,0.0,0.125
ebay.bicycles.sporting-goods-0526l35o83448.llc0526l35o.com,1,0,0.5,0.8164643596295642,0.0,0.019230769230769232,0.0,0.07142857142857142,0.25
motivateshore.com,1,0,0.10576923076923077,0.5139397991222114,0.0,0.0,0.0,0.07142857142857142,0.0
request.mymacuptodate.com,1,0,0.1826923076923077,0.5814763310474333,0.0,0.0,0.0,0.10714285714285714,0.0
www.anandtech.com,0,0,0.10576923076923077,0.47756729772913653,0.0,0.0,0.0,0.0,0.0
auth-apple.org,1,0,0.07692307692307694,0.5345977434918003,0.0,0.11538461538461539,0.0,0.07142857142857142,0.125
www.amazon.de.signin.verification.openid.05436137.budcabourab.tk,1,1,0.5576923076923077,0.8189649742479677,0.0,0.09615384615384616,0.2,0.5,0.0
www.lnstagramcopyrightedform.com,1,0,0.25,0.7112857754711457,0.0,0.0,0.2,0.25,0.0
9jve7kjeae8vt5t5q87p4l1ehs.g1oa11.com,1,0,0.2980769230769231,0.7723137685956647,0.0,0.0,0.0,0.03571428571428571,0.0
cdn.sandbox.lever.co,0,0,0.13461538461538464,0.5539339548016866,0.0,0.0,0.0,0.10714285714285714,0.0
managed-auth902.doronecan.com,1,0,0.22115384615384615,0.6544699828963476,0.0,0.0,0.0,0.2857142857142857,0.125
ee-mobupdate.com,1,0,0.09615384615384616,0.5133205796525184,0.0,0.0,0.2,0.07142857142857142,0.125
plataformacienciadados.pf2.dev.cloud.itau.com.br,0,0,0.40384615384615385,0.6844468431862856,0.0,0.7307692307692308,0.0,0.3214285714285714,0.0
www.thelinkissafe.com,1,0,0.14423076923076922,0.616001588480751,0.0,0.0,0.2,0.2857142857142857,0.0
instagram-livesupports.com,1,0,0.1923076923076923,0.6760280929077929,0.0,0.21153846153846156,0.2,0.17857142857142855,0.125
h6y7s.papernom.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.21428571428571427,0.0
reviews.ajmadison.com,0,0,0.14423076923076922,0.597670789598475,0.0,0.0,0.0,0.0,0.0
service.mecca.com.au,0,0,0.13461538461538464,0.44951478889162155,0.0,0.0,0.2,0.07142857142857142,0.0
omv85.bemobtrk.com,0,0,0.11538461538461538,0.502982806348256,0.0,0.0,0.0,0.10714285714285714,0.0
s4769.pcdn.co,0,0,0.0673076923076923,0.494748306665342,0.0,0.0,0.0,0.03571428571428571,0.0
www.suspended-nowthree.com,1,0,0.1923076923076923,0.5898763872318458,0.0,0.0,0.0,0.0,0.125
com9237578921.com,1,0,0.10576923076923077,0.49129587109116435,0.0,0.0,0.0,0.0,0.0
doutfalabella.com,1,0,0.10576923076923077,0.5002112257601836,0.0,0.0,0.0,0.03571428571428571,0.0
cplt20live.com,1,0,0.07692307692307694,0.5345977434918003,0.0,0.13461538461538464,0.2,0.14285714285714285,0.0
www.agreatertown.com,0,0,0.13461538461538464,0.4728533636070691,0.0,0.0,0.0,0.03571428571428571,0.0
spotify.update-billing.sctrlgin.com,1,0,0.27884615384615385,0.7289557395260895,0.0,0.019230769230769232,0.2,0.17857142857142855,0.125
denuncias.facebooksession.secureoffert.com,1,0,0.34615384615384615,0.6050781301265009,0.0,0.21153846153846156,0.2,0.03571428571428571,0.0
cpcalendars.support-mail-account-statement.com,1,0,0.38461538461538464,0.6419674679563285,0.0,0.0,0.4,0.03571428571428571,0.375
pandemicimeriletisim.com,1,0,0.17307692307692307,0.5237150494466289,0.0,0.0,0.0,0.39285714285714285,0.0
report-66571051.bnrc.bz,1,0,0.1634615384615385,0.6460226467870398,0.0,0.0,0.0,0.03571428571428571,0.125
xn1x.addroits.com,1,0,0.10576923076923077,0.5640408738773144,0.0,0.0,0.0,0.03571428571428571,0.0
www.apple.jp.fte.ooo,1,0,0.13461538461538464,0.40692887534978417,0.0,0.09615384615384616,0.0,0.07142857142857142,0.0
smap.addroits.com,1,0,0.10576923076923077,0.49129587109116435,0.0,0.0,0.0,0.03571428571428571,0.0
apifdsvt.coles.com.au,0,0,0.14423076923076922,0.616001588480751,0.0,0.0,0.0,0.07142857142857142,0.0
ztkgy.tempbigh.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.14285714285714285,0.0
efaxt.moonntree.com,1,0,0.125,0.47422368526878755,0.0,0.0,0.0,0.10714285714285714,0.0
kf408.tempbigh.com,1,0,0.11538461538461538,0.6663217835170361,0.0,0.0,0.0,0.14285714285714285,0.0
mobile-securelogin1.com,1,0,0.1634615384615385,0.6089914176202247,0.0,0.0,0.0,0.0,0.125
mail.onlinesecurity-protect.cc,1,1,0.23076923076923078,0.6303654585568252,0.0,0.15384615384615385,0.4,0.07142857142857142,0.125
bicharter.com,1,0,0.0673076923076923,0.494748306665342,0.0,0.0,0.0,0.07142857142857142,0.0
www.pnel.snu.ac.kr,0,0,0.11538461538461538,0.48159687431893383,0.0,0.0,0.0,0.3571428571428571,0.0
login.swapcard.com,0,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.2,0.10714285714285714,0.0
g4-dy.bicharter.com,1,0,0.125,0.6615096912014362,0.0,0.0,0.0,0.07142857142857142,0.125
mobgame-xeps82.aajyn.xyz,1,1,0.17307692307692307,0.673269597230012,0.0,0.0,0.0,0.25,0.125
z4hj.addroits.com,1,0,0.10576923076923077,0.6004133752703893,0.0,0.0,0.0,0.03571428571428571,0.0
webdisk.biguc14.com,1,0,0.125,0.6289658741655271,0.0,0.0,0.0,0.10714285714285714,0.0
earnkaro.com,0,0,0.057692307692307696,0.3995915966737391,0.0,0.0,0.0,0.2857142857142857,0.0
newdevice-secureinfo.com,1,0,0.17307692307692307,0.5752427597534853,0.0,0.0,0.2,0.17857142857142855,0.125
ooa.enrol.dev.education.nsw.gov.au,0,0,0.2692307692307692,0.5878277806586936,0.0,0.0,0.0,0.2857142857142857,0.0
ezneptun.netlify.com,0,0,0.13461538461538464,0.5731812936280767,0.5,0.0,0.0,0.3571428571428571,0.0
review-app-8374.info,1,1,0.13461538461538464,0.6583531207117512,0.0,0.0,0.0,0.03571428571428571,0.25
lnstagramforums.net,1,0,0.125,0.5638782400937086,0.0,0.0,0.0,0.21428571428571427,0.0
smbc.co.jp.rel9zt.cn,1,0,0.13461538461538464,0.5848505809858002,0.0,0.0,0.0,0.17857142857142855,0.0
webmail.hjdanwne.com,1,0,0.13461538461538464,0.596519868343524,0.0,0.0,0.0,0.2857142857142857,0.0
